팀,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효 슈팅,차단된슈팅,벗어난슈팅,PA내 슈팅,PA외 슈팅,오프사이드,프리킥,코너킥,스로인,드리블성공률,패스성공률,키패스,전방패스성공률,후방패스성공률,횡패스성공률,공격지역패스성공률,수비지역패스성공률,중앙지역패스성공률,롱패스성공률,중거리패스성공률,숏패스성공률,크로스성공률,탈압박,경합지상성공률,경합공중성공률,대클성공률,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
전북,최보경,대기,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전북,최철순,대기,25,48,0,0,0,0,0,0,0,0,0,0,0,8,0,72.4,0,0,100,77.8,85.7,25,77.8,66.7,60,76.2,0,0,0,0,100,2,1,1,5,0,0,0,0,0,0
전북,쿠니모토,대기,17,237,0,1,3,1,1,1,1,2,0,0,2,3,40,82.7,3,0,91.7,86.8,71,100,91.1,94.4,78.3,82.6,41.7,1,36.4,9.1,16.7,1,3,8,17,2,0,7,5,0,0
전북,한교원,대기,7,242,3,1,5,3,2,0,5,0,0,0,0,4,33.3,72.8,6,0,92.7,53.2,69,0,92,0,75,73.9,6.2,0,46.7,26.7,0,0,4,5,11,0,4,5,7,0,0
전북,홍정남,대기,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,김정호,GK,25,386,0,0,0,0,0,0,0,0,0,17,0,0,0,61.1,0,0,0,100,0,60.8,100,38.8,100,100,0,0,0,0,0,4,1,2,26,0,2,0,1,0,0
부산,김호준,GK,1,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,최필수,GK,21,1248,0,0,0,0,0,0,0,0,0,42,0,1,0,69,0,0,0,97.3,100,69,50,41.1,98.2,100,0,0,100,0,100,10,4,7,65,0,0,0,3,0,0
부산,강민수,DF,4,1835,1,0,3,2,0,1,3,0,0,34,0,3,0,92.6,1,0,100,97.8,55.6,92.5,94.2,79.2,94.8,95.4,0,0,66.7,766.7,38.5,72,17,80,130,16,2,18,14,3,0
부산,김동우,DF,6,1630,1,0,6,2,1,3,6,0,0,28,0,3,0,87.7,1,0,98.5,97.3,54.5,87.7,88.4,66,92.1,92.4,0,0,50,408.3,33.3,57,21,69,126,23,3,8,8,1,0
